"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"New Mexico",36,231000,229990,227747,225000,227783,225000,225000,223257,219900,219000,217625,210000,204900,199500,199900,199998,205000,205000,207990,205000,205000,204500,199990,199900,199900,199000,199000,199000,199095.5,199900,199900,199000,199000,195000,195000,190000,190000,194900,194900,199000,204900,209000,207000,205000,204500,201900,2e+05,199900,199000,199000,199900,200059.5,209000,209000,209000,209945,209000,205000,2e+05,199990,199900,199990,2e+05,209000,215000,219000,219000,219000,219000,215000,209900,205000,200309,205925,210000,214900,218000,219500,219900,219900,219000,219000,214790,211000,209900,210000,215000,219450,220000,224900,225000,224900,224500,220000,219500,218000,218000,219736.5,219900,224900,225625,229000,229000,226000,225000,225000,225000,225000,223900,224900,225975,229999.5,235000,239000,238000,238000,239000,236000,234900,235000
"West Virginia",37,150000,153250,154900,150000,150000,150000,150000,150000,150000,149900,149500,145000,142900,140000,145000,145000,149000,149500,149500,148500,145000,144500,140000,139900,139900,139900,139900,139900,139900,140000,139900,139900,139900,139900,139900,139500,139900,140000,144900,145000,148000,146000,148000,147700,143950,139900,139000,139900,139900,140000,147500,149900,150000,154900,154900,150000,149900,149900,149900,149900,149500,149900,149900,150000,155000,155000,154900,152999,152900,153900,152529,150000,149900,149900,154900,158500,159900,159900,159000,156900,154900,150000,149999,149900,149000,149900,150000,155000,157500,158000,156950,155000,154900,150000,150000,149900,149900,149900,152500,159000,159900,159900,159900,159000,159900,159900,159000,158000,159900,159900,164000,165000,167900,169000,169000,169000,167000,165000,164900,163000
"Nebraska",38,136900,138000,137000,135000,136900,136900,138050,137500,135000,135000,135000,131650,129900,129900,132900,134000,134900,134900,134500,133000,132000,130000,129000,127500,127400,128300,130000,134900,135000,134950,134900,130000,130000,130000,129900,128500,129000,130000,135000,138000,139900,139500,138900,136900,137000,137500,134900,134000,134900,135000,140000,145000,149000,149700,148900,149700,149000,145000,142950,140000,142000,147500,154900,160000,169500,169000,164900,164900,163000,162145,163195,163000,160000,165450,175000,179900,183500,179900,179950,175000,175000,175000,174900,173000,175000,179900,189000,195000,2e+05,199900,199900,199000,199000,196000,196000,198000,199900,217950,219900,224500,224500,220000,219900,218000,219000,215000,214000,214900,214900,219500,225000,224900,220000,220000,217200,209900,211000,209900,204450,2e+05
"Idaho",39,175000,174900,172095,172757,174900,173900,174500,172562.5,169900,169900,167500,164900,159900,159000,159900,159900,165000,167500,169900,169900,169700,169000,165000,164900,165000,164900,169000,169900,174900,174900,174900,179000,174000,175000,174900,172900,174900,175000,179900,185390,189900,190000,194900,193900,194900,189900,185750,166500,169000,179000,184900,189900,195000,198000,199000,198990,198995,197000,194988.5,195000,195000,194900,199000,215000,216945,220370.5,223900,222000,224900,225000,225000,227490,228000,225100.5,229900,232900,239900,245000,245000,245000,246990,248900,248990,249900,249900,250990,255000,265990,270000,274900,275000,269999,269900,269900,274900,279900,285000,289530,292500,299000,299900,301355,299950,299997,3e+05,299900,299900,305000,302990,305995,310000,319990,325000,329900,330232.5,329900,333000,329000,331990,334115
"Hawaii",40,510000,5e+05,499000,499000,499500,499000,499000,529000,495000,485000,488000,475000,475000,459000,460000,450575,455000,450000,450000,450000,449778.5,439000,420000,424000,425000,430000,435000,445000,439000,440000,435000,441000,447560,441000,439250,449900,465000,475000,469000,475010,473900,465000,489000,498000,499000,495056,499000,510000,510000,519000,509950,515000,519000,513900,520000,525000,519000,499000,515000,522000,530000,535000,534950,535000,523171,548000,548000,549000,549000,549000,550000,545000,565000,539000,565000,575000,575000,589500,595000,593050,598000,590000,595000,597500,599900,597750,598250,599000,609900,615000,610000,6e+05,599999,599000,599998,619000,620000,618000,599900,610000,620000,620000,619000,629900,628000,619500,630000,638000,639999,639000,639000,630500,635000,633000,630000,629000,630000,629000,630000,639000
"Maine",41,209900,207500,2e+05,2e+05,209900,209900,209000,209898.5,205000,2e+05,199900,199500,198500,198500,199000,199900,199900,199900,2e+05,199900,199900,199000,199000,198900,195000,195000,199000,199900,199000,199000,199500,199400,199000,194800,195000,192000,189900,189900,189900,195250,199000,199000,199000,195900,195800,195911,195000,190000,189823.5,189500,192500,198000,199900,199900,199900,199900,199500,199000,199000,198000,194900,192000,199000,199500,2e+05,2e+05,209000,205000,2e+05,205000,2e+05,199900,199000,198000,199900,209900,215000,215000,219000,219000,219000,219000,215000,210000,205000,209900,215000,224650,229000,229900,229900,229400,229900,229500,225000,225000,224000,224000,229000,238500,245000,242900,239900,239900,239900,239900,239900,239900,239900,239000,240000,249000,249900,254900,250000,249900,249900,249500,249900,249000
"New Hampshire",42,249900,249000,249000,249000,249900,249000,247000,244900,239999,239900,239900,235900,229900,230000,230000,234900,239000,238000,239000,235000,230000,229900,227900,224000,219900,219900,225000,225000,229900,229000,229000,229000,225000,224900,224900,220000,224000,225000,229000,230900,237900,239000,235000,234900,234900,234500,229900,229000,225000,224900,229900,239000,239900,245000,244900,240000,239900,239999.5,239900,239900,239000,239000,239900,248700,249900,249900,249900,248900,248500,245000,245000,244900,241450,244900,249900,255000,259900,262500,264900,260700,263000,263200,260000,260000,264900,269000,269900,275000,279000,279900,279900,279900,279900,279900,279900,279900,279900,279900,289900,299000,299000,299000,299000,294900,294900,294650,298000,295900,299000,299000,3e+05,309000,309900,310000,309000,306000,304949.5,3e+05,308999,309000
"Rhode Island",43,279000,269900,269900,269900,269900,268900,269000,269000,259900,250000,249900,245000,239900,239900,239900,239900,239900,239900,239900,239000,237500,229900,229000,224900,227000,224900,229900,235000,239900,239900,239900,239900,239900,239900,239900,239000,235900,239000,239900,249900,249900,254900,249900,249900,250000,249900,249900,249000,248999,249900,249900,255014,259900,259900,267900,259900,259000,253750,249900,249000,249000,249900,249900,259000,260000,269000,269900,269900,269500,269000,269000,264900,259900,259900,269000,269900,279900,279900,279900,279000,279000,277000,274900,269900,269000,275000,279900,294320.5,299900,299900,299700,299000,299000,289900,289900,285500,284500,289900,299000,3e+05,301500,309900,309900,309000,309000,299900,299900,299000,299000,299900,314450,319900,324900,324900,324900,319900,324500,319900,319900,319000
"Montana",44,269900,264900,259900,258750,259500,259500,259000,259000,259000,259000,249900,250000,249900,249000,249000,249000,248250,249000,249000,249000,245000,245000,239975,239900,239000,235000,239000,239000,239900,239900,244700,239900,239900,235000,232850,225000,225000,236378,240000,257900,265000,269900,269900,269000,275000,272000,269900,274900,275000,269900,269900,265250,270000,270000,270000,269000,270000,269900,275000,275000,279000,279900,275000,279900,289000,290000,295000,292900,295000,295000,293000,293250,289000,287693,285900,289000,290000,293850,292500,295000,296500,295000,294300,295000,290000,289900,294900,296000,299000,299900,3e+05,299900,299500,299000,299950,3e+05,299900,310000,314000,319500,319900,325000,324900,324500,319900,319900,320000,325000,319900,325000,325000,325000,325000,325000,325000,325000,325000,325000,324900,324500
"Delaware",45,239900,240000,239900,240000,244900,240000,239990,239900,239900,239900,239900,235000,230000,230000,230000,232500,234900,234900,234150,234000,229900,229500,226995,224900,220000,222990,225000,229900,229000,229900,231900,235800,236990,234900,234900,234900,241105,239900,243200,246643,249900,243900,245000,248995,249900,249900,245000,245000,245000,249900,249900,254990,259900,259900,258900,259900,262930,259900,259900,259000,259500,259900,259900,261900,261445,263995,260963,260000,269990,269900,269000,266450,268000,268450,269900,270000,271900,272900,275995,279000,274900,270990,269900,269900,265000,269900,270000,275000,274900,278900,279000,279900,279900,279000,279000,277000,279000,279900,284424,285000,288900,289000,289900,289000,289900,289900,289750,285000,285000,285000,289900,298255,299614,299900,299900,299900,299999,3e+05,299990,299990
